"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","49","42","46","1","39.546566","0","46"
"/Game/Erin/Interactables/GizmoMat.GizmoMat","49","11","11","1","0.000000","0","11"
"/Game/Daniels/Models/Layout/materials/windowpane.windowpane","49","11","11","1","7.453631","0","11"
"/Game/Daniels/Models/Layout/materials/Wall.Wall","49","13","13","1","10.478940","0","13"
"/Game/Daniels/Models/Layout/materials/offwhite.offwhite","49","13","13","1","11.721857","0","13"
"/Game/Daniels/Models/Layout/materials/wood.wood","49","13","13","1","10.525812","0","13"
"/Game/Daniels/Models/Layout/materials/red.red","49","13","13","1","10.266034","0","13"
"/Game/Daniels/Models/Layout/materials/window.window","49","13","13","1","11.434223","0","13"
"/Game/Daniels/Models/Layout/materials/woodD.woodD","49","13","13","1","11.456572","0","13"
"/Game/Daniels/Models/Layout/materials/b6a00cad-6280-4055-ba02-885434ec9255_Mat.b6a00cad-6280-4055-ba02-885434ec9255_Mat","49","46","48","1","46.373539","0","48"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","49","8","8","1","0.000000","0","8"
"/Game/StarterContent/Materials/M_Ground_Grass.M_Ground_Grass","49","8","8","1","4.847456","0","8"
"/Game/StarterContent/Materials/M_Metal_Burnished_Steel.M_Metal_Burnished_Steel","49","13","13","1","12.108345","0","13"
"/Game/StarterContent/Materials/M_Wood_Walnut.M_Wood_Walnut","49","13","13","1","10.915469","0","13"
"/Game/Erin/TitleScreenSetUp/DEMOTitleWalls.DEMOTitleWalls","49","8","8","1","0.000000","0","8"
